pic encoded_size encode_delay queue_delay que_len
1 46635 60 52 1 1
2 23426 77 51 26 2
3 13459 180 134 46 5
4 10911 200 51 149 5
5 9394 222 56 166 6
6 8586 204 57 147 7
7 8478 244 50 194 7
8 8273 281 49 232 8
9 7354 298 47 251 8
10 8098 323 63 260 9
11 8408 360 65 295 10
12 9220 384 56 328 11
13 8770 405 56 349 12
14 7923 429 54 375 12
15 7394 439 47 391 13
16 8145 462 53 409 13
17 7652 487 55 432 14
18 8249 503 53 450 15
19 9130 530 57 473 15
20 9241 548 52 496 16
21 8487 567 52 515 16
22 8012 587 51 536 17
23 7616 597 46 551 17
24 7666 620 53 567 18
25 7161 628 45 583 18
26 7663 650 52 598 19
27 8205 675 56 619 20
28 8068 693 54 639 20
29 8682 717 54 662 21
30 8848 730 46 684 21
31 9797 754 57 697 22
32 8753 770 54 716 23
33 8401 796 53 743 23
34 8867 819 53 766 24
35 8710 844 59 784 25
36 8190 859 49 810 25
37 7645 898 69 829 26
38 7590 912 51 861 27
39 7009 931 51 880 27
40 8610 952 52 900 28
41 8995 974 58 915 29
42 9033 987 45 942 29
43 8568 1016 63 953 30
44 8559 1030 47 983 30
45 8029 1052 52 1000 31
46 7495 1074 56 1018 32
47 7514 1093 51 1042 32
48 7960 1109 51 1058 33
49 8414 1122 45 1077 33
50 8436 1142 51 1091 33
51 9083 1164 56 1108 34
52 8683 1185 54 1131 35
53 8208 1200 50 1150 35
54 9145 1224 54 1170 36
55 8591 1247 55 1192 37
56 8240 1268 55 1213 37
57 7538 1289 53 1236 38
58 7713 1305 48 1257 38
59 7635 1325 54 1271 39
60 8872 1347 54 1293 40
61 9255 1364 51 1313 40
62 8349 1382 49 1333 41
63 8801 1408 58 1350 41
64 8648 1422 51 1371 42
65 8680 1446 53 1393 43
66 8175 1464 52 1412 43
67 7803 1483 51 1432 44
68 8469 1507 56 1451 44
69 8665 1520 47 1473 45
